,MRN,First Name,Last Name,DOB,Phone Number,Email,Pincode,State,Years of Exp,Specialization,Education,SimilarityScore,DUP
0,E9jSeh,Jonathon,Ross,25-02-1972,5123543890,Jonathon.Ross@email.com,964400,Gujarat,4,"Ophthalmologist, ","MBBS, MS Plastic surgery, ",0.96,D
1,ABC123,Chandru,Raghavan,01-10-2001,9741895695,chandru.satchi@gmail.com,560008,Karnataka,9,OrthhoPaedic ,"MBBS, MS Ortho ",0.5636438984438983,U
2,yXqwgS,Kari,Fox,08-04-1970,3372860767,Kari.Fox@email.com,241679,Mizoram,21,"Sexologist, ","MBBS, MS Urology, ",0.96,D
3,zndWAP,Ruben,Mcmillan,04-03-1978,6953857636,Ruben.Mcmillan@email.com,376555,Sikkim,11,"Paediatrician, ENT, ","MBBS, MD in Anesthesia, ",0.96,D
4,ViBkMR,Christain,Rosenbum,07-05-1967,2828880146,christainrosenbum@gmail.com,854282,Karntaka,24,"Opthalmologist, Urologist, ","MBBS  MS Ophthalmology, ",0.893184721161192,D
5,f0hhob,Wendy,Rose,12-01-1976,4287157182,Wendy.Rose@email.com,246857,Meghalaya,21,"Dermatologist, General Physician, ","MBBS, MS Orthopedics, ",0.96,D
6,lgmwc4,Belinda,Quinones,27-08-1989,1992346055,Belinda.Quinones@email.com,716226,Sikkim,10,"General Physician, Urologist, ","MBBS, MS Pediatric surgery, ",0.96,D
7,swd345,Ronit,Sarkar,08-05-2001,9854621354,ronit.sarkar@gmail.com,541625,Uttarpradhesh,14,"Gynaecologist, ","MBBS, MS in CSE lol",0.5460485090103695,U
8,v33q8P,Ruth,Ervin,01-05-1978,1026374219,Ruth.Ervin@email.com,949134,Jammu and Kashmir,14,"Ophthalmologist, Orthopedic, ","MBBS, MS Ophthalmology, ",0.96,D
9,tgWxF3,Jody,Hollingsworth,30-03-1959,9296853676,Jody.Hollingsworth@email.com,95223,Haryana,7,"Gynaecologist, ","MBBS, MD in Forensic Medicine, ",0.96,D
10,qaXbxL,Terry,Moore,10-08-1987,3187860693,Terry.Moore@email.com,903016,West Bengal,16,"Urologist, ","MBBS, MS Cardiac surgery, ",0.96,D
11,f191Ql,Matthew,Chavez,28-11-1971,2227989571,Matthew.Chavez@email.com,866620,Jharkhand,18,"Ophthalmologist, ","MBBS, MD in Orthopedics, ",0.96,D
12,acd234,Ayan,Sadukhan,28-10-2001,9845244048,ayan.sadukhan@gmail.com,400078,West Bengal,4,"Dental, Coder","BDS, Something else",0.5247093544137023,U
13,8SBXXM,Virginia,Hovermale,25-02-1977,6693429273,Virginia.Hovermale@email.com,934207,Andhra Pradesh,6,"ENT, ","MBBS, MS Obstetrics, ",0.96,D
14,IxruHr,Mary,Walters,18-01-1989,7020452000,Mary.Walters@email.com,473691,Uttaranchal,10,"Dermatologist, Orthopedic, ","MBBS, MD in General Surgery, ",0.96,D
15,6Sdch7,Patricia,Schmidt,30-06-1963,3928818196,Patricia.Schmidt@email.com,220827,Kerala,19,"Physiotherapist, ","MBBS, MS Gynecology, ",0.96,D
16,CzSjW5,Grace,Shelby,09-10-1956,1761172357,Grace.Shelby@email.com,317196,Jharkhand,13,"Gynaecologist, ","MBBS, MS Orthopedics, ",0.96,D
17,ZF4PNq,Evalyn,Lakh,09-04-1974,1316272882,eveline.lakh@gmail.com,476949,UP,13,"Gynacologist, ",MBBS MS  ,0.7681395767232663,P
18,GHyLbo,Sharon,Stoneham,20-02-1976,1478290535,Sharon.Stoneham@email.com,792016,Karnataka,23,"ENT, ","MBBS, MS Cardiac surgery, ",0.96,D
19,12345a,Ahona,Saha,05-06-2001,8547569514,ahon.saha@gmail.com,400518,West Bengal,17,"Cardio, Dental","MS, Cardiac Surgery",0.5205759053954175,U
20,QWiszh,Donald,Romo,12-09-1990,1248161690,Donald.Romo@email.com,342980,Orissa,8,"Physiotherapist, Dentist, ","MBBS, MD in Ophthalmology, ",0.96,D
21,z9ToEa,Tim,Smith,11-02-1982,8594020534,Tim.Smith@email.com,150415,Goa,11,"Sexologist, ","MBBS, MS Urology, ",0.96,D
22,efd54s,Siddhart,Basu,21-05-2000,8745869586,Siddharth.basu@gmail.com,874596,New Delhi,10,urologist,MS Urology,0.4875792960662526,U
23,fw0xnp,Andre,Davis,15-11-1990,3468629244,Andre.Davis@email.com,257352,Karnataka,23,"General Physician, ","MBBS, MD in Dermatology, ",0.96,D
